ProjectName, UpdatedAt, Global, BestPractices, Documentation, Legal, License, Security
aeraki-mesh,2023-08-30 05:01:19 -0500 CDT,a,77.894737,45.000000,93.333333,100.000000,100.000000,60.000000
aeraki-mesh,2023-07-30 10:03:53 -0500 CDT,a,77.894737,45.000000,93.333333,100.000000,100.000000,60.000000
aeraki-mesh,2023-06-28 23:00:48 -0500 CDT,a,77.894737,45.000000,93.333333,100.000000,100.000000,60.000000
aeraki-mesh,2023-05-29 22:00:47 -0500 CDT,a,75.789474,45.000000,93.333333,100.000000,100.000000,50.000000
aeraki-mesh,2023-04-28 23:00:28 -0500 CDT,a,75.789474,45.000000,93.333333,100.000000,100.000000,50.000000
aeraki-mesh,2023-03-30 07:00:54 -0500 CDT,b,70.526316,45.000000,93.333333,100.000000,75.000000,50.000000
aeraki-mesh,2023-02-27 03:00:48 -0600 CST,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2023-01-30 08:01:59 -0600 CST,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2022-12-30 11:00:30 -0600 CST,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2022-11-29 06:00:35 -0600 CST,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2022-10-30 08:00:21 -0500 CDT,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
akri,2023-08-30 19:00:25 -0500 CDT,a,77.310924,55.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-07-30 15:00:37 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-06-29 08:00:28 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-05-30 12:00:19 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-04-29 11:00:21 -0500 CDT,a,81.512605,80.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-03-30 07:00:10 -0500 CDT,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-02-27 16:00:40 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-01-30 06:00:39 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-12-29 22:00:36 -0600 CST,a,81.666667,75.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-11-29 17:00:50 -0600 CST,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-10-29 22:00:22 -0500 CDT,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-08-30 19:00:25 -0500 CDT,a,77.310924,55.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-07-30 15:00:37 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-06-29 08:00:28 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-05-30 12:00:19 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-04-29 11:00:21 -0500 CDT,a,81.512605,80.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-03-30 07:00:10 -0500 CDT,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-02-27 16:00:40 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-01-30 06:00:39 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-12-29 22:00:36 -0600 CST,a,81.666667,75.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-11-29 17:00:50 -0600 CST,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-10-29 22:00:22 -0500 CDT,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-08-30 19:00:25 -0500 CDT,a,77.310924,55.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-07-30 15:00:37 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-06-29 08:00:28 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-05-30 12:00:19 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-04-29 11:00:21 -0500 CDT,a,81.512605,80.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-03-30 07:00:10 -0500 CDT,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-02-27 16:00:40 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-01-30 06:00:39 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-12-29 22:00:36 -0600 CST,a,81.666667,75.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-11-29 17:00:50 -0600 CST,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-10-29 22:00:22 -0500 CDT,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-08-30 19:00:25 -0500 CDT,a,77.310924,55.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-07-30 15:00:37 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-06-29 08:00:28 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-05-30 12:00:19 -0500 CDT,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-04-29 11:00:21 -0500 CDT,a,81.512605,80.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-03-30 07:00:10 -0500 CDT,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-02-27 16:00:40 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-01-30 06:00:39 -0600 CST,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-12-29 22:00:36 -0600 CST,a,81.666667,75.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-11-29 17:00:50 -0600 CST,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-10-29 22:00:22 -0500 CDT,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
antrea,2023-08-30 05:00:35 -0500 CDT,a,84.210526,65.000000,96.666667,100.000000,100.000000,65.000000
antrea,2023-07-30 08:00:48 -0500 CDT,a,84.210526,65.000000,96.666667,100.000000,100.000000,65.000000
antrea,2023-06-29 12:00:29 -0500 CDT,a,84.210526,65.000000,96.666667,100.000000,100.000000,65.000000
antrea,2023-05-30 17:00:31 -0500 CDT,a,84.210526,65.000000,96.666667,100.000000,100.000000,65.000000
antrea,2023-04-29 09:00:27 -0500 CDT,a,89.473684,90.000000,96.666667,100.000000,100.000000,65.000000
antrea,2023-03-30 06:00:25 -0500 CDT,a,90.526316,90.000000,100.000000,100.000000,100.000000,65.000000
antrea,2023-02-27 12:00:28 -0600 CST,a,90.526316,90.000000,100.000000,100.000000,100.000000,65.000000
antrea,2023-01-29 19:00:27 -0600 CST,a,90.526316,90.000000,100.000000,100.000000,100.000000,65.000000
antrea,2022-12-30 05:00:16 -0600 CST,a,90.526316,90.000000,100.000000,100.000000,100.000000,65.000000
antrea,2022-11-29 17:00:20 -0600 CST,a,90.526316,90.000000,100.000000,100.000000,100.000000,65.000000
antrea,2022-10-30 19:00:28 -0500 CDT,a,90.526316,90.000000,100.000000,100.000000,100.000000,65.000000
